muni_key,year,dept,muni_rel,muni_code,muni_name,agro_strict_bob_mm,p10_agropecuario_bob_mm,rural_total_bob_mm,total_presupuesto_bob_mm,agro_share_pct,p10_share_pct,area_antropico_ha,area_natural_ha,area_total_ha,antropico_share_pct,natural_share_pct,lc_antrop_1985_kha,lc_antrop_2024_kha,lc_change_antrop_ha,lc_change_antrop_pp,gasto_agrop_por_ha_antrop,gasto_por_ha_natural
AGUST IN SAAVEDRA,2020,Santa Cruz,281,1735,Agustín Saavedra,0.197886,0.197886,5.329364,30.603234,0.646617935869131,0.646617935869131,,,,,,,,,,,
AGUST IN SAAVEDRA,2021,Santa Cruz,281,1735,Agustín Saavedra,0.184569,0.184569,4.553474,24.140441,0.764563497410839,0.764563497410839,,,,,,,,,,,
AIQUILE,2012,Cochabamba,121,1307,Aiquile,4.009945,0.295,7.47036,63.576106,6.30731457507008,0.464010803052329,7619.21203472287,264517.445346741,272136.657381464,2.79977424138151,97.2002257586185,4.87273248736575,14.3558101945861,9483.07770722037,3.4846748683062,526.293924060069,15.1594727324831
AIQUILE,2013,Cochabamba,121,1307,Aiquile,9.663149,0.701482,13.900591,73.441615,13.1575932800497,0.955156010662347,7769.91209896238,264366.745282505,272136.657381467,2.85515085462041,97.1448491453796,4.87273248736575,14.3558101945861,9483.07770722037,3.4846748683062,1243.66258934775,36.5520594871866
AIQUILE,2014,Cochabamba,121,1307,Aiquile,9.975545,1.248,13.223593,95.899479,10.4020846661743,1.30136264869593,7934.29865137325,264202.35873009,272136.657381463,2.9155567381911,97.0844432618089,4.87273248736575,14.3558101945861,9483.07770722037,3.4846748683062,1257.26865578389,37.7572140080364
AIQUILE,2015,Cochabamba,121,1307,Aiquile,8.138715,2.407602,11.569147,74.375993,10.9426639856761,3.23706871382544,8267.29999014278,263869.357391322,272136.657381465,3.0379222224936,96.9620777775064,4.87273248736575,14.3558101945861,9483.07770722037,3.4846748683062,984.44655567161,30.8437291865238
AIQUILE,2016,Cochabamba,121,1307,Aiquile,3.549414,1.77,7.334414,75.042795,4.72985314579501,2.3586541519409,8483.73579841308,263652.921583049,272136.657381462,3.11745425259677,96.8825457474032,4.87273248736575,14.3558101945861,9483.07770722037,3.4846748683062,418.378658216105,13.4624489601264
AIQUILE,2017,Cochabamba,121,1307,Aiquile,1.718,1.136,3.932,63.238536,2.7166979324126,1.79637302166514,8500.64281505127,263636.014566413,272136.657381464,3.12366694617535,96.8763330538247,4.87273248736575,14.3558101945861,9483.07770722037,3.4846748683062,202.10236300696,6.51656035244462
AIQUILE,2018,Cochabamba,121,1307,Aiquile,6.981199,0.386305,8.668199,74.633987,9.35391405526815,0.517599307671986,8126.00789815672,264010.649483307,272136.657381463,2.98600268568972,97.0139973143103,4.87273248736575,14.3558101945861,9483.07770722037,3.4846748683062,859.117919585532,26.4428689284423
AIQUILE,2019,Cochabamba,121,1307,Aiquile,5.327578,0.407986,7.018403,66.902492,7.9631981421559,0.609821828460441,8377.1385729919,263759.518808474,272136.657381466,3.07828377609904,96.921716223901,4.87273248736575,14.3558101945861,9483.07770722037,3.4846748683062,635.966321146488,20.1986188937073
AIQUILE,2020,Cochabamba,121,1307,Aiquile,1.340775,1.340775,2.945775,61.239852,2.18938314873785,2.18938314873785,9074.38120839841,263062.276173066,272136.657381464,3.3344942558321,96.6655057441679,4.87273248736575,14.3558101945861,9483.07770722037,3.4846748683062,147.753876458166,5.09679692392656
AIQUILE,2021,Cochabamba,121,1307,Aiquile,3.126974,0.577472,4.328436,50.125878,6.23824284933224,1.15204366096091,9066.85289658811,263069.804484876,272136.657381464,3.33172788400894,96.6682721159911,4.87273248736575,14.3558101945861,9483.07770722037,3.4846748683062,344.879754382768,11.8864801155078
ALALAY,2012,Cochabamba,158,1344,Alalay,0.925287,0.065,2.337287,10.0086,9.24491936934237,0.649441480326919,7059.27502256465,35199.1773906782,42258.4524132428,16.7050012942557,83.2949987057443,3.83701398972167,13.2837303989562,9446.71640923448,22.3546198920261,131.073941310172,26.2871768203607
ALALAY,2013,Cochabamba,158,1344,Alalay,1.6521,0.1305,2.7521,11.813294,13.9850917110841,1.10468765104805,7567.98765974122,34690.4647535015,42258.4524132427,17.9088140420628,82.0911859579372,3.83701398972167,13.2837303989562,9446.71640923448,22.3546198920261,218.301095915964,47.6240376639303
ALALAY,2014,Cochabamba,158,1344,Alalay,0.307,0.1,0.937615,8.215754,3.73672337316818,1.21717373718833,7875.64911528918,34382.8032979536,42258.4524132428,18.6368611852457,81.3631388147543,3.83701398972167,13.2837303989562,9446.71640923448,22.3546198920261,38.9809138911501,8.92888218972746
ALALAY,2015,Cochabamba,158,1344,Alalay,1.191413,0.0844,1.558252,8.932905,13.3373521827446,0.944821421474873,8231.36421597279,34027.0881972702,42258.452413243,19.4786220173866,80.5213779826134,3.83701398972167,13.2837303989562,9446.71640923448,22.3546198920261,144.740649148787,35.0136630290799
ALALAY,2016,Cochabamba,158,1344,Alalay,0.8912,0.0612,1.1532,7.510798,11.8655833907396,0.814826866599262,8504.08328049924,33754.3691327431,42258.4524132424,20.1239818186867,79.8760181813134,3.83701398972167,13.2837303989562,9446.71640923448,22.3546198920261,104.796715954513,26.4025079685314
ALALAY,2017,Cochabamba,158,1344,Alalay,0.03,0.03,0.191018,5.44072,0.551397609139967,0.551397609139967,8848.05993662105,33410.3924766212,42258.4524132423,20.937964907225,79.062035092775,3.83701398972167,13.2837303989562,9446.71640923448,22.3546198920261,3.39057377717726,0.897924201907905
ALALAY,2018,Cochabamba,158,1344,Alalay,3.302014,0.036,4.835885,16.580985,19.9144622590274,0.217116172531366,9101.10314346936,33157.349269773,42258.4524132424,21.536763945992,78.463236054008,3.83701398972167,13.2837303989562,9446.71640923448,22.3546198920261,362.814699267463,99.5861874583017
ALALAY,2019,Cochabamba,158,1344,Alalay,0.70546,0.291205,1.300589,7.056785,9.99690368914456,4.12659589317232,8968.1818898438,33290.2705233987,42258.4524132425,21.2222203552193,78.7777796447807,3.83701398972167,13.2837303989562,9446.71640923448,22.3546198920261,78.6625437201394,21.1911765482397
ALALAY,2020,Cochabamba,158,1344,Alalay,0.058641,0.058641,0.65167,6.15979,0.951996740148609,0.951996740148609,9526.02184093016,32732.4305723124,42258.4524132425,22.542287511563,77.457712488437,3.83701398972167,13.2837303989562,9446.71640923448,22.3546198920261,6.15587503148891,1.7915259873675
ALALAY,2021,Cochabamba,158,1344,Alalay,0.035,0.035,0.463076,4.296811,0.81455758701046,0.81455758701046,9532.41435283203,32726.0380604105,42258.4524132425,22.557414690948,77.442585309052,3.83701398972167,13.2837303989562,9446.71640923448,22.3546198920261,3.67168260888719,1.06948479175487
ALTO BENI,2012,La Paz,112,1285,Alto Beni,0.995112,0.995112,11.864567,20.2973,4.90268163745917,4.90268163745917,7277.11378153077,97205.5339261694,104482.6477077,6.96490177190873,93.0350982280913,3.48469925474242,20.601312925268,17116.6136705255,16.3822548969197,136.745422687437,10.2371949394961
ALTO BENI,2013,La Paz,112,1285,Alto Beni,0.179965,0.179965,7.452372,15.852986,1.13521200359352,1.13521200359352,8188.19479271855,96294.4529149798,104482.647707698,7.83689442444636,92.1631055755536,3.48469925474242,20.601312925268,17116.6136705255,16.3822548969197,21.9785929079308,1.86890308374143
ALTO BENI,2014,La Paz,112,1285,Alto Beni,,,6.1803,16.11566,,,8781.72701085837,95700.9206968402,104482.647707699,8.40496216694872,91.5950378330513,3.48469925474242,20.601312925268,17116.6136705255,16.3822548969197,,
ALTO BENI,2015,La Paz,112,1285,Alto Beni,1.938203,1.938203,15.325085,25.146057,7.70778098530517,7.70778098530517,9533.04892409695,94949.5987836012,104482.647707698,9.12404990995894,90.8759500900411,3.48469925474242,20.601312925268,17116.6136705255,16.3822548969197,203.314072489521,20.412966719505
ALTO BENI,2016,La Paz,112,1285,Alto Beni,3.891113,3.891113,21.590885,27.400588,14.2008375878649,14.2008375878649,10262.1518412782,94220.4958664192,104482.647707697,9.82187192459725,90.1781280754028,3.48469925474242,20.601312925268,17116.6136705255,16.3822548969197,379.171255715444,41.2979465265882
ALTO BENI,2017,La Paz,112,1285,Alto Beni,0.178099,0.178099,15.476835,24.190497,0.736235390285698,0.736235390285698,10473.3933098697,94009.2543978284,104482.647707698,10.0240504424909,89.9759495575091,3.48469925474242,20.601312925268,17116.6136705255,16.3822548969197,17.0048994371449,1.89448369887416
ALTO BENI,2018,La Paz,112,1285,Alto Beni,0.218484,0.218484,12.409941,19.881362,1.09893879503829,1.09893879503829,11368.0324691226,93114.6152385772,104482.6477077,10.880306652379,89.119693347621,3.48469925474242,20.601312925268,17116.6136705255,16.3822548969197,19.2191569291729,2.34639856955004
ALTO BENI,2019,La Paz,112,1285,Alto Beni,,,12.471141,20.758781,,,12219.0511497437,92263.5965579533,104482.647707697,11.6948138450013,88.3051861549987,3.48469925474242,20.601312925268,17116.6136705255,16.3822548969197,,
ALTO BENI,2020,La Paz,112,1285,Alto Beni,,,7.96318,16.685678,,,13439.5291542724,91043.1185534259,104482.647707698,12.8629293467667,87.1370706532333,3.48469925474242,20.601312925268,17116.6136705255,16.3822548969197,,
ALTO BENI,2021,La Paz,112,1285,Alto Beni,,,5.997578,12.53811,,,14180.9063589662,90301.7413487325,104482.647707699,13.5724990417919,86.4275009582081,3.48469925474242,20.601312925268,17116.6136705255,16.3822548969197,,
ANCORAIMES,2012,La Paz,54,1225,Ancoraimes,0.552887,0.552887,13.584089,23.71331,2.33154713534298,2.33154713534298,5667.78601654046,26990.3036970143,32658.0897135548,17.3549220614335,82.6450779385665,5.70066128650521,9.87130359969461,4170.6423131894,12.7706254400354,97.549025031378,20.4846527925938
ANCORAIMES,2013,La Paz,54,1225,Ancoraimes,0.138575,0.068575,13.773558,28.327178,0.489194511362904,0.242082003367932,6332.55129520255,26325.5384183523,32658.0897135548,19.3904522608198,80.6095477391802,5.70066128650521,9.87130359969461,4170.6423131894,12.7706254400354,21.8829652599865,5.2638999361698
ANCORAIMES,2014,La Paz,54,1225,Ancoraimes,0.700058,0.635058,13.624841,22.340664,3.13355950387151,2.84261022859482,5431.72377033083,27226.3659432239,32658.0897135547,16.6320927463078,83.3679072536922,5.70066128650521,9.87130359969461,4170.6423131894,12.7706254400354,128.88321085543,25.7125024125459
ANCORAIMES,2015,La Paz,54,1225,Ancoraimes,1.721902,1.656902,21.43915,32.09808,5.36450155274085,5.16199722849466,8319.55400167833,24338.5357118778,32658.0897135561,25.4747110888882,74.5252889111118,5.70066128650521,9.87130359969461,4170.6423131894,12.7706254400354,206.970469769489,70.7479702305866
