dept_upper,year,agro_strict_bob,p10_agropecuario_bob,rural_infra_bob,rural_total_bob,p10_corriente_bob,p10_inversion_bob,pib_agrop_bob_2017_mm,pib_total_bob_2017_mm,pib_agrop_pct_gdp,deuda_rural_mm_bob,p10_agropecuario_bob_mm,agro_strict_bob_mm,rural_infra_bob_mm,rural_total_bob_mm,p10_corriente_bob_mm,p10_inversion_bob_mm,cpi_2015base,bob_per_usd,p10_agropecuario_bob_mm_2015,agro_strict_bob_mm_2015,rural_infra_bob_mm_2015,rural_total_bob_mm_2015,p10_agropecuario_bob_per_capita_farmers_proxy,pib_agrop_corriente_mm,pib_agrop_constante_mm,pib_total_corriente_mm,pib_total_constante_mm,pib_agrop_share_pct,ena2015_upas,ena2015_sup_ha,ena2015_sup_exp_ha,ena2015_prod_exp_ton,ena2015_riego_pct,gasto_por_pib_agrop_ratio
COCHABAMBA,2018,160536065,39978743,567510146,812533699,26704581,13274162,5000.51096092093,57587.0799404421,8.68339038217005,146.9,39.978743,160.536065,567.510146,812.533699,26.704581,13.274162,108.969086910658,6.91,36.688150863169,147.322575192009,520.799212041935,745.655233090263,7994.93158047938,5000.51096092093,100.969214159883,,,,,,,,,0.0321039322290446
COCHABAMBA,2019,85996115,35248089,550599885,741883418,29708586,5539503,5110.95099978317,57332.6366703464,8.91455773989662,136,35.248089,85.996115,550.599885,741.883418,29.708586,5.539503,110.973622354616,6.91,31.7625830824598,77.4923924941367,496.153836666302,668.522304903515,6896.58128232797,5110.95099978317,103.199195060406,,,,,,,,,0.0168258539367034
COCHABAMBA,2020,33253702,31973564,593257148,727304083,29535282,2438282,5476.90545674703,50711.1166032421,10.8002067862116,122.4,31.973564,33.253702,593.257148,727.304083,29.535282,2.438282,112.017597999241,6.91,28.5433401278759,29.6861409224516,529.610667070384,649.276627949949,5837.88861292312,5476.90545674703,110.588466722185,,,,,,,,,0.00607162242668158
COCHABAMBA,2021,52804100,23621758,384882205,523991243,22356090,1265668,5669.19919280144,54692.5996276155,10.3655690740634,123.9,23.621758,52.8041,384.882205,523.991243,22.35609,1.265668,112.843597532049,6.91,20.9331840854251,46.7940593483852,341.075801744701,464.351770468129,4166.68337037692,5669.19919280144,114.471219418662,,,,,,,,,0.00931420791618133
LA PAZ,2012,124674061,25858254,624345703,805632795,19321470,6536784,,,,102.8,25.858254,124.674061,624.345703,805.632795,19.32147,6.536784,85.9299851602867,6.91,30.0922360823945,145.087958257462,726.574899129096,937.545600057115,,,,,,,,,,,,
LA PAZ,2013,75589353,41057121,466313440,627304469,23965233,17091888,,,,98.2,41.057121,75.589353,466.31344,627.304469,23.965233,17.091888,90.8592730328446,6.91,45.1875957505827,83.1938782656508,513.226030139414,690.413260045825,,,,,,,,,,,,
LA PAZ,2014,66183694,30117315,795193233,884315645,19322642,10794673,,,,92.7,30.117315,66.183694,795.193233,884.315645,19.322642,10.794673,96.0987645491769,6.91,31.339960655361,68.8704941322442,827.474980277268,920.215414993672,,,,,,,,,,,,
LA PAZ,2015,77834547,33946979,630621829,775551082,19489508,14457471,,,,85.2,33.946979,77.834547,630.621829,775.551082,19.489508,14.457471,100,6.91,33.946979,77.834547,630.621829,775.551082,,,,,,,1544,93066.408102,2148021.80836269,25317138.4237904,12.7584020291693,
LA PAZ,2016,62826165,36206934,574477425,658526320,28193035,8013899,,,,77.4,36.206934,62.826165,574.477425,658.52632,28.193035,8.013899,103.623214317642,6.91,34.9409485494369,60.6294307831598,554.390663118231,635.500765283524,,,,,,,,,,,,
LA PAZ,2017,47729012,34172123,676514824,745757676,21404090,12768033,3588.71444557824,81763.0150478221,4.38916598596474,71.7,34.172123,47.729012,676.514824,745.757676,21.40409,12.768033,106.548246947132,6.91,32.0719711296197,44.7956802364686,634.937545556879,699.924867248204,9522.10701581579,3588.71444557823,100,,,,,,,,,0.0132997519651664
