municipio,dept,area_antropico_1985,area_antropico_2024,area_natural_1985,area_natural_2024,antropico_share_1985,antropico_share_2024,cambio_antrop_ha,cambio_antrop_pct,cambio_natural_ha,cambio_antrop_share_pp
Guayaramerín,Beni,14142.0751928895,78560.6530944808,633819.916479801,569402.301946091,2.18254378323281,12.1242506972581,64418.5779015913,455.510079128842,-64417.6145337095,9.9417069140253
Gutiérrez,Santa Cruz,13271.4967004456,48635.1412453732,273997.353265414,238633.708720452,4.61988715519377,16.9301827368888,35363.6445449276,266.463122759471,-35363.6445449621,12.3102955816951
Huacaraje,Beni,29453.5933193289,72131.040953511,417235.339901737,374557.892267561,6.59375935439895,16.1479355294017,42677.447634182,144.897253015899,-42677.4476341767,9.55417617500277
Huacaya,Chuquisaca,846.849860113525,2294.65225554809,117847.299857288,116399.497461856,0.713472283284211,1.93324798316629,1447.80239543457,170.963291561562,-1447.80239543214,1.21977569988208
Huachacalla,Oruro,582.813332617227,586.881454626504,1485.79731482546,1481.72919281618,28.1741435169411,28.3708031451948,4.06812200927732,0.698014575440252,-4.06812200927811,0.196659628253713
Huarina,La Paz,4366.23820341182,9614.9478649169,13416.285838031,8167.57617652575,24.5535346570382,54.0696463702735,5248.70966150508,120.211253188241,-5248.7096615053,29.5161117132353
Huatajata,La Paz,327.588417749023,468.698695898439,1533.66880336914,1392.55852521974,17.6003839787508,25.1818335789644,141.110278149415,43.0754784064205,-141.1102781494,7.58144960021367
Humanata,La Paz,6896.83635361351,6941.35641751135,23476.8286343429,23432.3948348611,22.7065675764192,22.8531417138316,44.5200638978431,0.645514285321811,-44.4337994818306,0.146574137412408
Ichoca,La Paz,2409.23062996826,9861.33926308596,82435.5312122315,74983.4225791146,2.83957498100958,11.6228026916107,7452.1086331177,309.31487174459,-7452.10863311685,8.78322771060111
Icla (R.Mujia),Chuquisaca,2101.20763770751,4436.99628441779,82522.6713301502,80186.8826834398,2.48299612749447,5.24319652860994,2335.78864671028,111.164104146257,-2335.78864671038,2.76020040111548
Incahuasi,Chuquisaca,4055.52781661371,8422.18859924311,101881.894076909,97515.2332942763,3.82822967004982,7.95015439181489,4366.6607826294,107.671824238047,-4366.66078263297,4.12192472176507
Independencia,Cochabamba,9435.6339323119,27594.3006737484,141414.376104803,123255.709362934,6.25497733145021,18.292541490079,18158.6667414365,192.447766326044,-18158.6667418694,12.0375641586288
