dept,year,actividad,constante_chain2017_mm,corriente_bob_mm
CHUQUISACA,2018,"Actividades inmobiliarias, empresariales y de alquiler",106.809149674172,1756.7922907728
CHUQUISACA,2018,Administracion publica,96.001341125692,832.663553695753
CHUQUISACA,2018,"Agricultura, ganaderia, silvicultura y pesca",108.273170102855,1213.42536451351
CHUQUISACA,2018,Comercio; reparacion de vehículos automotores y motocicletas,110.829104530929,764.888787699259
CHUQUISACA,2018,Comunicación e informaciones,99.380653221672,341.916101121117
CHUQUISACA,2018,Construcción,93.2653309075514,1392.17376157641
CHUQUISACA,2018,Enseñanza,105.165809061606,1146.96823217251
CHUQUISACA,2018,Impuestos netos de subvenciones a los productos,103.414572950941,1050.18654355148
CHUQUISACA,2018,Industrias manufactureras,104.488733757237,1295.7831473952
CHUQUISACA,2018,PRODUCTO  INTERNO  BRUTO(1),103.377220679292,15717.1130668193
CHUQUISACA,2018,"Suministro de electricidad, agua y recolección de desechos sólidos",102.424472202874,192.72176335082
CHUQUISACA,2018,Transporte y almacenamiento,104.671886994218,884.396940241515
CHUQUISACA,2018,VALOR AGREGADO BRUTO,103.374547203661,14666.9265232678
CHUQUISACA,2019,Actividad extractiva,110.935715558921,2358.23974226565
CHUQUISACA,2019,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",82.1490517575231,320.950195181621
CHUQUISACA,2019,Actividades de alojamiento y de servicio de comidas y bebidas,102.290109092561,910.146690499959
CHUQUISACA,2019,Actividades de atencion de la salud humana y de asistencia social,115.977013116732,944.625287767244
CHUQUISACA,2019,Actividades financieras y de seguros,111.670993475054,495.634888647903
CHUQUISACA,2019,"Actividades inmobiliarias, empresariales y de alquiler",107.26117797466,1764.22723277853
CHUQUISACA,2019,Administracion publica,100.718441669964,873.577124863379
CHUQUISACA,2019,"Agricultura, ganaderia, silvicultura y pesca",110.46888377508,1238.03288880189
CHUQUISACA,2019,Comercio; reparacion de vehículos automotores y motocicletas,109.047097725585,752.590240031839
CHUQUISACA,2019,Comunicación e informaciones,93.4270847242808,321.433030599885
CHUQUISACA,2019,Construcción,91.9538938608557,1372.59791030775
CHUQUISACA,2019,Enseñanza,100.23647645682,1093.20752844237
CHUQUISACA,2019,Impuestos netos de subvenciones a los productos,99.8160629111923,1013.64327201109
CHUQUISACA,2019,Industrias manufactureras,105.462180507667,1307.85503159493
CHUQUISACA,2019,PRODUCTO  INTERNO  BRUTO(1),104.46204054599,15882.0453061463
CHUQUISACA,2019,"Suministro de electricidad, agua y recolección de desechos sólidos",100.566353124774,189.225528734762
CHUQUISACA,2019,Transporte y almacenamiento,106.114577273373,896.586563503696
CHUQUISACA,2019,VALOR AGREGADO BRUTO,104.78109115068,14866.4889618053
CHUQUISACA,2020,Actividad extractiva,103.425198286551,2198.5833121661
CHUQUISACA,2020,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",86.9697001007522,339.784107363933
CHUQUISACA,2020,Actividades de alojamiento y de servicio de comidas y bebidas,72.7346446814014,647.171038614939
CHUQUISACA,2020,Actividades de atencion de la salud humana y de asistencia social,135.547247520257,1104.0235841046
CHUQUISACA,2020,Actividades financieras y de seguros,114.624536124926,508.7437429424
CHUQUISACA,2020,"Actividades inmobiliarias, empresariales y de alquiler",105.833534114657,1740.74540809523
CHUQUISACA,2020,Administracion publica,98.151642364829,851.314100139181
CHUQUISACA,2020,"Agricultura, ganaderia, silvicultura y pesca",111.340112159192,1247.79680925016
CHUQUISACA,2020,Comercio; reparacion de vehículos automotores y motocicletas,83.7184492140564,577.784178609252
CHUQUISACA,2020,Comunicación e informaciones,91.5822227711658,315.085839414607
CHUQUISACA,2020,Construcción,52.8672534037701,789.150719985069
CHUQUISACA,2020,Enseñanza,98.0995586191013,1069.90169457397
