dept,muni_rel,muni_code,muni_name,year,agro_strict_bob,p10_agropecuario_bob,p12_microriegos_bob,p18_caminos_vecinales_bob,p32_recursos_hidricos_bob,rural_infra_bob,rural_total_bob,total_presupuesto_bob,agro_strict_bob_mm,p10_agropecuario_bob_mm,p12_microriegos_bob_mm,p18_caminos_vecinales_bob_mm,p32_recursos_hidricos_bob_mm,rural_infra_bob_mm,rural_total_bob_mm,total_presupuesto_bob_mm,agro_share_pct,p10_share_pct
Beni,304,1802,San Javier del departamento del Beni,2021,105000,105000,,1125750,,1331750,1481750,10357181,0.105,0.105,,1.12575,,1.33175,1.48175,10.357181,1.01378936990673,1.01378936990673
Beni,305,1803,Riberalta,2012,1079115,1079115,,,,28572020,149732730,253930822,1.079115,1.079115,,,,28.57202,149.73273,253.930822,0.424964166027864,0.424964166027864
Beni,305,1803,Riberalta,2013,2533237,2533237,,,,33400117,195742452,370290768,2.533237,2.533237,,,,33.400117,195.742452,370.290768,0.684121025669211,0.684121025669211
Beni,305,1803,Riberalta,2014,12890000,12890000,,798534,,41723094,218551502,344507645,12.89,12.89,,0.798534,,41.723094,218.551502,344.507645,3.74157154045159,3.74157154045159
Beni,305,1803,Riberalta,2015,14349206,14349206,,840937,,87359024,331707980,534218815,14.349206,14.349206,,0.840937,,87.359024,331.70798,534.218815,2.68601659041155,2.68601659041155
Beni,305,1803,Riberalta,2016,1319099,1319099,,925031,,64615378,260790223,413389675,1.319099,1.319099,,0.925031,,64.615378,260.790223,413.389675,0.319093359068535,0.319093359068535
Beni,305,1803,Riberalta,2017,902280,902280,,632685,,53753538,180847370,275725769,0.90228,0.90228,,0.632685,,53.753538,180.84737,275.725769,0.327238184255459,0.327238184255459
Beni,305,1803,Riberalta,2018,6450099,6450099,,632285,,62236013,238669506,339974527,6.450099,6.450099,,0.632285,,62.236013,238.669506,339.974527,1.89723008277029,1.89723008277029
Beni,305,1803,Riberalta,2019,5192213,5192213,,764960,,56965201,254933488,358979356,5.192213,5.192213,,0.76496,,56.965201,254.933488,358.979356,1.44638205880563,1.44638205880563
Beni,305,1803,Riberalta,2020,1300835,1300835,,889348,,55193388,226933641,319478360,1.300835,1.300835,,0.889348,,55.193388,226.933641,319.47836,0.407174683130338,0.407174683130338
Beni,305,1803,Riberalta,2021,2530442,2530442,,588447,,48027382,195334771,264673336,2.530442,2.530442,,0.588447,,48.027382,195.334771,264.673336,0.956062306178058,0.956062306178058
Beni,306,1805,Puerto Guayaramerín,2012,1230874,300291,,,930583,15992661,65874189,106111140,1.230874,0.300291,,,0.930583,15.992661,65.874189,106.11114,1.15998565277878,0.282996676880486
Beni,306,1805,Puerto Guayaramerín,2013,1973860,415139,,,1558721,19009260,83025660,145477271,1.97386,0.415139,,,1.558721,19.00926,83.02566,145.477271,1.3568167634929,0.285363477845278
Beni,306,1805,Puerto Guayaramerín,2014,1900329,3e+05,,,1600329,21171543,86207151,150412724,1.900329,0.3,,,1.600329,21.171543,86.207151,150.412724,1.26340973653266,0.199451211321723
Beni,306,1805,Puerto Guayaramerín,2015,2153109,706191,,589455,1446918,25784416,119108581,209751825,2.153109,0.706191,,0.589455,1.446918,25.784416,119.108581,209.751825,1.02650310670718,0.336679311371903
Beni,306,1805,Puerto Guayaramerín,2016,1513398,511000,,430302,1002398,21361144,87309082,141671264,1.513398,0.511,,0.430302,1.002398,21.361144,87.309082,141.671264,1.06824627469972,0.360694177190372
Beni,306,1805,Puerto Guayaramerín,2017,1258934,6e+05,,718268,658934,20687892,78359280,116613841,1.258934,0.6,,0.718268,0.658934,20.687892,78.35928,116.613841,1.07957510806972,0.51451868393564
Beni,306,1805,Puerto Guayaramerín,2018,1413409,7e+05,,728768,713409,19900753,78372780,113581992,1.413409,0.7,,0.728768,0.713409,19.900753,78.37278,113.581992,1.24439532632955,0.616294878857205
Beni,306,1805,Puerto Guayaramerín,2019,1292142,4e+05,,728768,892142,22258048,91098446,129665121,1.292142,0.4,,0.728768,0.892142,22.258048,91.098446,129.665121,0.9965224187004,0.308486967748251
Beni,306,1805,Puerto Guayaramerín,2020,1196208,556603,,576159,639605,21810477,86745905,122904948,1.196208,0.556603,,0.576159,0.639605,21.810477,86.745905,122.904948,0.973278960257971,0.45287273544105
Beni,306,1805,Puerto Guayaramerín,2021,775893,131470,,680000,644423,15525344,73691383,114774252,0.775893,0.13147,,0.68,0.644423,15.525344,73.691383,114.774252,0.67601660344517,0.114546597088692
Beni,307,1806,Reyes,2012,114642,114642,,232142,,1596449,1850776,26116593,0.114642,0.114642,,0.232142,,1.596449,1.850776,26.116593,0.438962310282968,0.438962310282968
Beni,307,1806,Reyes,2013,611799,611799,,233750,,3694770,4642939,35578901,0.611799,0.611799,,0.23375,,3.69477,4.642939,35.578901,1.71955564338539,1.71955564338539
Beni,307,1806,Reyes,2014,699150,699150,,250900,,5681222,6727659,41149692,0.69915,0.69915,,0.2509,,5.681222,6.727659,41.149692,1.69904066353644,1.69904066353644
Beni,307,1806,Reyes,2015,1136994,1136994,,1863900,,3118962,4611158,50180072,1.136994,1.136994,,1.8639,,3.118962,4.611158,50.180072,2.26582775728182,2.26582775728182
Beni,307,1806,Reyes,2016,1133143,1133143,,380000,,1834950,3460796,39254736,1.133143,1.133143,,0.38,,1.83495,3.460796,39.254736,2.8866402260354,2.8866402260354
Beni,307,1806,Reyes,2017,1097600,1097600,,354352,,995985,2450470,30583640,1.0976,1.0976,,0.354352,,0.995985,2.45047,30.58364,3.58884684753025,3.58884684753025
Beni,307,1806,Reyes,2018,520000,520000,,378000,,1726400,2644046,32574785,0.52,0.52,,0.378,,1.7264,2.644046,32.574785,1.59632672940128,1.59632672940128
Beni,307,1806,Reyes,2019,684438,684438,,592292,,1716699,3017783,39621771,0.684438,0.684438,,0.592292,,1.716699,3.017783,39.621771,1.72742909447435,1.72742909447435
Beni,307,1806,Reyes,2020,646000,646000,,401494,,1009494,2187692,43103841,0.646,0.646,,0.401494,,1.009494,2.187692,43.103841,1.49870634498675,1.49870634498675
Beni,307,1806,Reyes,2021,139000,139000,,200831,,555355,1133400,27182837,0.139,0.139,,0.200831,,0.555355,1.1334,27.182837,0.511352071161667,0.511352071161667
Beni,308,1807,Puerto Rurrenabaque,2012,1020000,8e+05,,150000,220000,2312403,19668072,38262534,1.02,0.8,,0.15,0.22,2.312403,19.668072,38.262534,2.66579312284963,2.09081813556833
Beni,308,1807,Puerto Rurrenabaque,2013,1866768,1290000,,2e+05,576768,2667111,23907978,46252662,1.866768,1.29,,0.2,0.576768,2.667111,23.907978,46.252662,4.03602283475057,2.78902866174492
Beni,308,1807,Puerto Rurrenabaque,2014,1134314,380000,,2e+05,754314,3644598,31373348,60311581,1.134314,0.38,,0.2,0.754314,3.644598,31.373348,60.311581,1.88075653330991,0.630061413909876
Beni,308,1807,Puerto Rurrenabaque,2015,1034893,378252,,225000,656641,4393910,40803683,75784370,1.034893,0.378252,,0.225,0.656641,4.39391,40.803683,75.78437,1.36557577769664,0.499116110617532
Beni,308,1807,Puerto Rurrenabaque,2016,1368626,8e+05,,234000,568626,8389291,44653584,71183445,1.368626,0.8,,0.234,0.568626,8.389291,44.653584,71.183445,1.92267457693288,1.12385681811269
Beni,308,1807,Puerto Rurrenabaque,2017,302488,,,248000,302488,7337858,33858296,53511990,0.302488,,,0.248,0.302488,7.337858,33.858296,53.51199,0.565271446642145,
Beni,308,1807,Puerto Rurrenabaque,2018,347496,,,241440,347496,5911114,30208977,50033713,0.347496,,,0.24144,0.347496,5.911114,30.208977,50.033713,0.694523710442997,
Beni,308,1807,Puerto Rurrenabaque,2019,409544,,,,409544,2379640,19762054,50064018,0.409544,,,,0.409544,2.37964,19.762054,50.064018,0.818040613520073,
Beni,308,1807,Puerto Rurrenabaque,2020,3873434,3074400,,218772,799034,6859534,45969954,68214894,3.873434,3.0744,,0.218772,0.799034,6.859534,45.969954,68.214894,5.6782819306294,4.50693363241171
Beni,308,1807,Puerto Rurrenabaque,2021,1743776,1311949,,253847,431827,5695020,34443963,53008737,1.743776,1.311949,,0.253847,0.431827,5.69502,34.443963,53.008737,3.28960110858706,2.47496747564463
Beni,309,1808,San Borja,2012,3439822,2884379,349047,,206396,9035692,12900074,90428181,3.439822,2.884379,0.349047,,0.206396,9.035692,12.900074,90.428181,3.80392700810824,3.18969039087494
Beni,309,1808,San Borja,2013,2580691,991286,265047,,1324358,8445605,11819296,113893049,2.580691,0.991286,0.265047,,1.324358,8.445605,11.819296,113.893049,2.26588981738473,0.870365670867236
Beni,309,1808,San Borja,2014,2274294,498801,276087,,1499406,9397026,12264320,112003657,2.274294,0.498801,0.276087,,1.499406,9.397026,12.26432,112.003657,2.03055334166455,0.445343494453936
Beni,309,1808,San Borja,2015,3593452,1246146,265138,,2082168,9594044,13540496,120023181,3.593452,1.246146,0.265138,,2.082168,9.594044,13.540496,120.023181,2.99396497414945,1.03825443519948
Beni,309,1808,San Borja,2016,1578062,2e+05,328695,,1049367,11882572,13960634,112291703,1.578062,0.2,0.328695,,1.049367,11.882572,13.960634,112.291703,1.40532377534607,0.178107549050173
Beni,309,1808,San Borja,2017,1017190,,301675,,715515,10430111,12247301,101415576,1.01719,,0.301675,,0.715515,10.430111,12.247301,101.415576,1.00299188755779,
Beni,309,1808,San Borja,2018,2951680,1877013,3e+05,,774667,13533403,17436883,98434976,2.95168,1.877013,0.3,,0.774667,13.533403,17.436883,98.434976,2.99860894972941,1.90685575013499
Beni,309,1808,San Borja,2019,3057388,1732776,452739,,871873,16515237,21131778,124183865,3.057388,1.732776,0.452739,,0.871873,16.515237,21.131778,124.183865,2.46198489634704,1.39533102790769
Beni,309,1808,San Borja,2020,1681558,926484,130000,630000,625074,21946741,25394914,125682301,1.681558,0.926484,0.13,0.63,0.625074,21.946741,25.394914,125.682301,1.33794335926425,0.737163461066805
Beni,309,1808,San Borja,2021,1683549,892245,161522,610000,629782,15661682,18528299,88993597,1.683549,0.892245,0.161522,0.61,0.629782,15.661682,18.528299,88.993597,1.89176419063048,1.00259460239595
Beni,310,1809,Santa Rosa,2012,723997,723997,,,,3142342,4135489,32991300,0.723997,0.723997,,,,3.142342,4.135489,32.9913,2.1945088553649,2.1945088553649
Beni,310,1809,Santa Rosa,2013,198691,198691,,,,3458855,4007981,37034766,0.198691,0.198691,,,,3.458855,4.007981,37.034766,0.536498597020972,0.536498597020972
Beni,310,1809,Santa Rosa,2014,170000,170000,,,,3340148,3840148,37055892,0.17,0.17,,,,3.340148,3.840148,37.055892,0.458766449340904,0.458766449340904
Beni,310,1809,Santa Rosa,2015,1123671,1123671,,,,5018127,6610698,56925897,1.123671,1.123671,,,,5.018127,6.610698,56.925897,1.97391882994835,1.97391882994835
Beni,310,1809,Santa Rosa,2016,180000,180000,,634740,,4570348,5196316,28871014,0.18,0.18,,0.63474,,4.570348,5.196316,28.871014,0.623462688217324,0.623462688217324
Beni,310,1809,Santa Rosa,2017,60000,60000,,1e+05,,2758911,3108911,22793855,0.06,0.06,,0.1,,2.758911,3.108911,22.793855,0.263228839527145,0.263228839527145
