destino,dept,year,deuda_mm_bob
CAMINOS,Beni,2014,1.6
CAMINOS,Chuquisaca,2014,54.8
CAMINOS,Cochabamba,2014,81.8
CAMINOS,La Paz,2014,92.7
CAMINOS,Pando,2014,7.3
CAMINOS,Potosí,2014,103.3
CAMINOS,Santa Cruz,2014,27.5
ELECTRIFICACIÓN,Beni,2014,9.9
ELECTRIFICACIÓN,Chuquisaca,2014,67.7
ELECTRIFICACIÓN,Cochabamba,2014,38
ELECTRIFICACIÓN,La Paz,2014,21.5
ELECTRIFICACIÓN,Pando,2014,4.9
ELECTRIFICACIÓN,Potosí,2014,9.4
ELECTRIFICACIÓN,Santa Cruz,2014,70
FORTALECIMIENTO,Cochabamba,2014,56.6
FORTALECIMIENTO,La Paz,2014,0.6
FORTALECIMIENTO,Oruro,2014,3.1
FORTALECIMIENTO,Pando,2014,1.6
FORTALECIMIENTO,Potosí,2014,0
FORTALECIMIENTO,Santa Cruz,2014,0
RIEGO,Chuquisaca,2014,148.9
RIEGO,Cochabamba,2014,118.7
RIEGO,La Paz,2014,0
RIEGO,Oruro,2014,0
RIEGO,Potosí,2014,0.4
RIEGO,Santa Cruz,2014,154.7
RIEGO,Tarija,2014,155.5
SEGURIDAD SOCIAL,Beni,2014,0
SEGURIDAD SOCIAL,Chuquisaca,2014,0
SEGURIDAD SOCIAL,Cochabamba,2014,3.3
SEGURIDAD SOCIAL,La Paz,2014,21.4
SEGURIDAD SOCIAL,Oruro,2014,0
TRANSPORTE,Beni,2014,2.6
TRANSPORTE,Pando,2014,10.6
TRANSPORTE,Oruro,2014,0
OTROS,Beni,2014,50.4
OTROS,Chuquisaca,2014,36.2
OTROS,Cochabamba,2014,276.7
OTROS,La Paz,2014,167
OTROS,Oruro,2014,23.2
OTROS,Pando,2014,10.4
OTROS,Potosí,2014,8.1
OTROS,Santa Cruz,2014,17.7
OTROS,Tarija,2014,116.6
AGROPECUARIO,Beni,2015,1
AGROPECUARIO,Potosí,2015,49.9
AGROPECUARIO,Santa Cruz,2015,0
CAMINOS,Beni,2015,1.1
CAMINOS,Chuquisaca,2015,39.1
CAMINOS,Cochabamba,2015,70.3
CAMINOS,La Paz,2015,85.2
CAMINOS,Pando,2015,4.7
CAMINOS,Potosí,2015,74.2
CAMINOS,Santa Cruz,2015,14.1
ELECTRIFICACIÓN,Beni,2015,8.6
ELECTRIFICACIÓN,Chuquisaca,2015,102.4
ELECTRIFICACIÓN,Cochabamba,2015,73.5
ELECTRIFICACIÓN,La Paz,2015,38.7
ELECTRIFICACIÓN,Pando,2015,4.6
ELECTRIFICACIÓN,Potosí,2015,8
ELECTRIFICACIÓN,Santa Cruz,2015,89.6
FORTALECIMIENTO,Cochabamba,2015,50.7
FORTALECIMIENTO,La Paz,2015,0
FORTALECIMIENTO,Oruro,2015,11
FORTALECIMIENTO,Pando,2015,1.2
FORTALECIMIENTO,Potosí,2015,0
FORTALECIMIENTO,Santa Cruz,2015,46
RIEGO,Chuquisaca,2015,148.6
RIEGO,Cochabamba,2015,118.1
RIEGO,La Paz,2015,0
RIEGO,Oruro,2015,0
RIEGO,Potosí,2015,0.3
RIEGO,Santa Cruz,2015,156.7
RIEGO,Tarija,2015,155.5
SEGURIDAD SOCIAL,Beni,2015,0
SEGURIDAD SOCIAL,Chuquisaca,2015,0
SEGURIDAD SOCIAL,Cochabamba,2015,2
SEGURIDAD SOCIAL,La Paz,2015,20.1
SEGURIDAD SOCIAL,Oruro,2015,0
TRANSPORTE,Beni,2015,1.9
TRANSPORTE,Pando,2015,18
TRANSPORTE,Oruro,2015,0
OTROS,Beni,2015,42.9
OTROS,Chuquisaca,2015,218.9
OTROS,Cochabamba,2015,257.5
OTROS,La Paz,2015,154.8
OTROS,Oruro,2015,14.6
OTROS,Pando,2015,9
OTROS,Potosí,2015,13.4
OTROS,Santa Cruz,2015,16.6
OTROS,Tarija,2015,99.1
AGROPECUARIO,Beni,2016,0.9
AGROPECUARIO,Potosí,2016,45.6
AGROPECUARIO,Santa Cruz,2016,0
CAMINOS,Beni,2016,12.9
CAMINOS,Chuquisaca,2016,23.5
CAMINOS,Cochabamba,2016,60.6
CAMINOS,La Paz,2016,77.4
CAMINOS,Pando,2016,2
CAMINOS,Potosí,2016,45
CAMINOS,Santa Cruz,2016,6
ELECTRIFICACIÓN,Beni,2016,7.3
ELECTRIFICACIÓN,Chuquisaca,2016,116.1
ELECTRIFICACIÓN,Cochabamba,2016,87.6
ELECTRIFICACIÓN,La Paz,2016,49.3
ELECTRIFICACIÓN,Pando,2016,4.3
ELECTRIFICACIÓN,Potosí,2016,6.5
ELECTRIFICACIÓN,Santa Cruz,2016,183.2
FORTALECIMIENTO,Cochabamba,2016,44.6
FORTALECIMIENTO,La Paz,2016,75.9
FORTALECIMIENTO,Oruro,2016,8.1
FORTALECIMIENTO,Pando,2016,0.7
FORTALECIMIENTO,Potosí,2016,0
FORTALECIMIENTO,Santa Cruz,2016,329
RIEGO,Chuquisaca,2016,146.4
RIEGO,Cochabamba,2016,113.6
RIEGO,La Paz,2016,0
RIEGO,Oruro,2016,0
RIEGO,Potosí,2016,0.2
RIEGO,Santa Cruz,2016,160.7
RIEGO,Tarija,2016,155.3
SEGURIDAD SOCIAL,Beni,2016,0
SEGURIDAD SOCIAL,Chuquisaca,2016,0
SEGURIDAD SOCIAL,Cochabamba,2016,0.7
SEGURIDAD SOCIAL,La Paz,2016,27.5
SEGURIDAD SOCIAL,Oruro,2016,0
TRANSPORTE,Beni,2016,1.1
TRANSPORTE,Pando,2016,26.9
TRANSPORTE,Oruro,2016,0
OTROS,Beni,2016,226.4
OTROS,Chuquisaca,2016,267.5
OTROS,Cochabamba,2016,237.8
OTROS,La Paz,2016,137.4
OTROS,Oruro,2016,71.8
OTROS,Pando,2016,7.5
OTROS,Potosí,2016,182.5
OTROS,Santa Cruz,2016,15.5
OTROS,Tarija,2016,105.9
AGROPECUARIO,Beni,2017,0.8
AGROPECUARIO,Potosí,2017,45.6
AGROPECUARIO,Santa Cruz,2017,0
CAMINOS,Beni,2017,11.6
CAMINOS,Chuquisaca,2017,7.8
CAMINOS,Cochabamba,2017,52.1
CAMINOS,La Paz,2017,71.7
CAMINOS,Pando,2017,38.2
CAMINOS,Potosí,2017,17.4
CAMINOS,Santa Cruz,2017,3.5
ELECTRIFICACIÓN,Beni,2017,6.2
ELECTRIFICACIÓN,Chuquisaca,2017,122.6
ELECTRIFICACIÓN,Cochabamba,2017,85.6
ELECTRIFICACIÓN,La Paz,2017,48.6
ELECTRIFICACIÓN,Pando,2017,4
ELECTRIFICACIÓN,Potosí,2017,6.5
ELECTRIFICACIÓN,Santa Cruz,2017,259.3
FORTALECIMIENTO,Cochabamba,2017,38.3
FORTALECIMIENTO,La Paz,2017,69.9
FORTALECIMIENTO,Oruro,2017,5.1
FORTALECIMIENTO,Pando,2017,0.2
FORTALECIMIENTO,Potosí,2017,0
FORTALECIMIENTO,Santa Cruz,2017,536.7
RIEGO,Chuquisaca,2017,146.2
RIEGO,Cochabamba,2017,111
RIEGO,La Paz,2017,0
RIEGO,Oruro,2017,0
RIEGO,Potosí,2017,0.1
RIEGO,Santa Cruz,2017,160.9
RIEGO,Tarija,2017,155.2
SEGURIDAD SOCIAL,Beni,2017,49.2
SEGURIDAD SOCIAL,Chuquisaca,2017,5.1
SEGURIDAD SOCIAL,Cochabamba,2017,0
SEGURIDAD SOCIAL,La Paz,2017,24.8
SEGURIDAD SOCIAL,Oruro,2017,1
TRANSPORTE,Beni,2017,0.4
TRANSPORTE,Pando,2017,27.6
TRANSPORTE,Oruro,2017,0
OTROS,Beni,2017,333.9
OTROS,Chuquisaca,2017,329.6
OTROS,Cochabamba,2017,244.7
OTROS,La Paz,2017,119.7
OTROS,Oruro,2017,102.9
OTROS,Pando,2017,5.9
OTROS,Potosí,2017,376.3
