dept,year,area_ha_antropico,area_ha_natural,area_ha_no_definido
Pando,2005,113789.344325207,6268275.43491995,14.4229186157227
Pando,2006,118962.89694535,6263104.69782371,11.6073947143555
Pando,2007,128508.610533442,6253560.30152247,10.2901078735352
Pando,2008,141586.478010041,6240480.85443315,11.8697205688477
Pando,2009,143581.089931752,6238487.56042174,10.5518102844238
Pando,2010,143552.889023701,6238515.14600953,11.1671305603027
Pando,2011,147615.535672688,6234453.72768578,9.93880531616211
Pando,2012,154526.552116975,6227543.06439794,9.58564887695313
Pando,2013,158382.942080512,6223683.94814546,12.3119378295898
Pando,2014,160998.527272259,6221067.12977092,13.5451206298828
Pando,2015,165132.218344764,6216934.4076323,12.5761867370605
Pando,2016,171492.184671979,6210574.08876323,12.9287285888672
Pando,2017,184520.418817281,6197545.68182983,13.1015166625977
Pando,2018,185273.252114815,6196792.49682849,13.4532204650879
Pando,2019,187583.903408829,6194482.45940357,12.8393513671875
Pando,2020,195803.452197515,6186263.61550618,12.1344600646973
Pando,2021,210620.938209601,6171446.21746469,12.0464894714355
Pando,2022,208607.189466417,6173472.01269735,0
Pando,2023,211449.111960192,6170630.09020357,0
Pando,2024,225005.723070153,6157076.11168014,0
Potosi,1985,315586.739695347,11630821.4174347,819.892445996098
Potosi,1986,326036.76956706,11620377.7026564,813.577352905278
Potosi,1987,328393.556081951,11618024.2572136,810.236280816655
Potosi,1988,332227.106399207,11614182.2157666,818.727410491948
Potosi,1989,337884.925755067,11608521.9772591,821.146562121586
Potosi,1990,343754.344719074,11602654.798604,818.906253289799
Potosi,1991,349641.995993952,11596771.6302372,814.423345153813
Potosi,1992,353309.663292983,11593103.2134254,815.172857971195
Potosi,1993,356478.559999806,11589934.2410439,815.248532165531
Potosi,1994,356596.404924092,11589817.3961142,814.248538110356
Potosi,1995,360710.170939754,11585702.3795206,815.49911584473
Potosi,1996,361657.539548829,11584753.7630192,816.747008184819
Potosi,1997,361332.932556081,11585089.4310121,805.68600811768
Potosi,1998,363468.62575096,11582958.489205,800.934620416264
Potosi,1999,365323.473138295,11581109.1452071,795.431230920415
Potosi,2000,366028.385735073,11580384.766741,814.897100280766
Potosi,2001,366393.102425748,11580056.0895909,778.857559527594
Potosi,2002,364232.634636806,11582186.8817268,808.533212744145
