dept_upper,year,agro_strict_bob,p10_agropecuario_bob,rural_infra_bob,rural_total_bob,p10_corriente_bob,p10_inversion_bob,pib_agrop_bob_2017_mm,pib_total_bob_2017_mm,pib_agrop_pct_gdp,deuda_rural_mm_bob,p10_agropecuario_bob_mm,agro_strict_bob_mm,rural_infra_bob_mm,rural_total_bob_mm,p10_corriente_bob_mm,p10_inversion_bob_mm,cpi_2015base,bob_per_usd,p10_agropecuario_bob_mm_2015,agro_strict_bob_mm_2015,rural_infra_bob_mm_2015,rural_total_bob_mm_2015,p10_agropecuario_bob_per_capita_farmers_proxy,superficie_total_ha,produccion_total_ton,rend_cereales_kg_ha,prod_arroz_ton,prod_maiz_ton,prod_papa_ton,prod_trigo_ton
LA PAZ,2020,112100110,30314096,809521424,943597412,19512167,10801929,3940.77200145833,72412.7858831526,5.44209417355835,51.7,30.314096,112.10011,809.521424,943.597412,19.512167,10.801929,112.017597999241,6.91,27.061905041211,100.073659855445,722.673435655607,842.365332638533,7692.42574520472,358457.371575177,2045030.92381349,1344.71467367966,14575.4600709413,20736.8122333038,0,0
ORURO,2012,59211768,19681218,189695333,264575421,8242936,11438282,,,,0,19.681218,59.211768,189.695333,264.575421,8.242936,11.438282,85.9299851602867,6.91,22.9037837761618,68.9069920000001,220.755691562332,307.896504935364,,121272,284874,683,0,0,62022,524
ORURO,2013,37413130,18619666,252440729,309457666,9404384,9215282,,,,0,18.619666,37.41313,252.440729,309.457666,9.404384,9.215282,90.8592730328446,6.91,20.4928626198332,41.1770078619004,277.837055672617,340.590074816177,,126856,309558,706.75,0,0,71159,525
ORURO,2014,38803632,23324910,317528390,380542407,9342454,13982456,,,,0,23.32491,38.803632,317.52839,380.542407,9.342454,13.982456,96.0987645491769,6.91,24.2718104747995,40.3789082846564,330.418805579452,395.990946174198,,135194,323852,711.5,0,0,73301,554
ORURO,2015,52316353,29592265,313154427,408261159,12245092,17347173,,,,0,29.592265,52.316353,313.154427,408.261159,12.245092,17.347173,100,6.91,29.592265,52.316353,313.154427,408.261159,,142235,358857,769.5,0,0,75602,602
ORURO,2016,27476468,21380961,231249490,297098551,11940651,9440310,,,,0,21.380961,27.476468,231.24949,297.098551,11.940651,9.44031,103.623214317642,6.91,20.6333697915023,26.5157457051804,223.163787692532,286.710418081886,,143342,345210,784.5,0,0,77342,837
ORURO,2017,13382287,9506000,129285550,160365245,8061725,1444275,462.595521223165,11883.2449709368,3.89283838172611,0,9.506,13.382287,129.28555,160.365245,8.061725,1.444275,106.548246947132,6.91,8.92177982498088,12.5598378044082,121.339912860463,150.509510569021,20549.269424107,136004,325201,745,0,0,66843,675
ORURO,2018,26969686,11638983,133397010,181688222,6835100,4803883,477.681884402816,12202.0653324169,3.91476255362911,0,11.638983,26.969686,133.39701,181.688222,6.8351,4.803883,108.969086910658,6.91,10.6809952528487,24.7498504067598,122.417296301078,166.733728941826,24365.5524315114,136545,331545,767.39618101147,0,0,68731,694
ORURO,2019,24420187,10879464,147431610,201414623,9014458,1865006,484.784382753908,12330.7615002749,3.93150400924631,0,10.879464,24.420187,147.43161,201.414623,9.014458,1.865006,110.973622354616,6.91,9.80364862312479,22.0053977529591,132.852840947088,181.497745794384,22441.861551309,135742.296251176,332149.004426601,833.577826307789,0,0,68415,1354.06333249565
ORURO,2020,11236369,9077005,149599214,187138796,8374425,702580,492.405459159327,10709.3391143974,4.59790705943139,0,9.077005,11.236369,149.599214,187.138796,8.374425,0.70258,112.017597999241,6.91,8.10319553545642,10.0308962169285,133.549742783285,167.06196110478,18434.0056170315,138267.705780173,338026.505666667,838.312056883676,0,0,70962.3791822307,855.023162644356
