municipio,dept,year,area_antropico,area_natural,area_no_def,area_total_ha,antropico_share,natural_share
Sacabamba,Cochabamba,2005,7173.69826805419,11374.716629834,,18548.4148978882,38.6755326940144,61.3244673059856
Sacabamba,Cochabamba,2006,7134.56824564207,11413.8466522461,,18548.4148978882,38.4645711502516,61.5354288497485
Sacabamba,Cochabamba,2007,7389.41952408444,11158.9953738038,,18548.4148978882,39.838549896389,60.161450103611
Sacabamba,Cochabamba,2008,7522.13374982904,11026.2811480591,,18548.4148978882,40.5540516062398,59.4459483937602
Sacabamba,Cochabamba,2009,7279.21066397704,11269.2042339112,,18548.4148978882,39.2443812802882,60.7556187197118
Sacabamba,Cochabamba,2010,7140.18879581909,11408.2261020692,,18548.4148978883,38.49487320144,61.50512679856
Sacabamba,Cochabamba,2011,7046.9428172119,11501.4720806763,,18548.4148978882,37.9921565050511,62.0078434949489
Sacabamba,Cochabamba,2012,7030.23598865355,11518.1789092347,,18548.4148978882,37.902085042609,62.097914957391
Sacabamba,Cochabamba,2013,7356.18005831294,11192.2348395752,,18548.4148978882,39.6593460886541,60.3406539113459
Sacabamba,Cochabamba,2014,7593.73816488643,10954.6767330017,,18548.4148978882,40.9400922218482,59.0599077781519
Sacabamba,Cochabamba,2015,7714.7766818664,10833.6382160217,,18548.4148978881,41.5926467266202,58.4073532733798
Sacabamba,Cochabamba,2016,7808.35929019772,10740.0556076904,,18548.4148978882,42.0971782935842,57.9028217064158
Sacabamba,Cochabamba,2017,7887.88080681758,10660.5340910705,,18548.4148978881,42.5259023492928,57.4740976507072
Sacabamba,Cochabamba,2018,7977.55652043453,10570.8583774536,,18548.4148978881,43.0093706893672,56.9906293106328
Sacabamba,Cochabamba,2019,7981.6478011169,10566.7670967712,,18548.4148978881,43.0314279956379,56.9685720043621
Sacabamba,Cochabamba,2020,8199.27245145867,10349.1424464295,,18548.4148978881,44.204706960659,55.795293039341
Sacabamba,Cochabamba,2021,8200.89204236444,10347.5228555237,,18548.4148978881,44.2134386550635,55.7865613449365
Sacabamba,Cochabamba,2022,8205.49456067498,10342.9203372132,,18548.4148978882,44.2382521948505,55.7617478051495
Sacabamba,Cochabamba,2023,9321.09611130359,9227.31878658448,,18548.4148978881,50.2527906703494,49.7472093296507
Sacabamba,Cochabamba,2024,10058.7901964354,8489.62470145265,,18548.4148978881,54.229918037798,45.770081962202
Sacaca,Potosi,1985,3980.33532158811,85064.7166655377,,89045.0519871258,4.47002414256952,95.5299758574305
Sacaca,Potosi,1986,2729.04540610961,86316.0065810146,,89045.0519871242,3.06479174890506,96.9352082510949
Sacaca,Potosi,1987,2318.86955809325,86726.1824290303,,89045.0519871235,2.60415318577002,97.39584681423
Sacaca,Potosi,1988,2914.62064152832,86130.4313455958,,89045.0519871241,3.27319775381767,96.7268022461823
Sacaca,Potosi,1989,3639.13073217161,85405.9212549524,,89045.051987124,4.08684216692673,95.9131578330733
Sacaca,Potosi,1990,4076.13256464231,84968.9194224817,,89045.051987124,4.57760703562925,95.4223929643708
Sacaca,Potosi,1991,4248.79950670777,84796.2524804147,,89045.0519871225,4.77151667823409,95.2284833217659
Sacaca,Potosi,1992,3941.35461179809,85103.6973753249,,89045.051987123,4.42624775194478,95.5737522480552
Sacaca,Potosi,1993,4142.50119525758,84902.5507918653,,89045.0519871228,4.65214080155362,95.3478591984464
Sacaca,Potosi,1994,2881.57642892456,86163.4755581992,,89045.0519871238,3.23608820997852,96.7639117900215
Sacaca,Potosi,1995,3428.95048504638,85616.1015020782,,89045.0519871245,3.85080406886864,96.1491959311314
Sacaca,Potosi,1996,3933.16271133422,85111.8892757891,,89045.0519871233,4.41704802632154,95.5829519736785
Sacaca,Potosi,1997,4327.54803676761,84717.5039503556,,89045.0519871233,4.85995340582587,95.1400465941741
Sacaca,Potosi,1998,4162.89707778322,84882.1549093395,,89045.0519871228,4.67504592886895,95.3249540711311
Sacaca,Potosi,1999,3987.69725148316,85057.3547356402,,89045.0519871234,4.47829178881249,95.5217082111875
Sacaca,Potosi,2000,4247.26397141726,84797.7880157063,,89045.0519871236,4.76979223060192,95.2302077693981
Sacaca,Potosi,2001,4892.43187084356,84152.6201162797,,89045.0519871232,5.49433321859484,94.5056667814051
Sacaca,Potosi,2002,5162.56241524663,83882.4895718768,,89045.0519871234,5.79769712077115,94.2023028792288
Sacaca,Potosi,2003,4901.31044014284,84143.7415469818,,89045.0519871247,5.50430409187872,94.4956959081213
Sacaca,Potosi,2004,4738.33217760012,84306.7198095238,,89045.0519871239,5.32127509823375,94.6787249017662
Sacaca,Potosi,2005,4424.97735313112,84620.0746339921,,89045.0519871233,4.96936916132186,95.0306308386781
Sacaca,Potosi,2006,4632.37978303837,84412.6722040848,,89045.0519871231,5.20228769556815,94.7977123044318
Sacaca,Potosi,2007,5011.48194460451,84033.5700425192,,89045.0519871237,5.62802966899181,94.3719703310082
Sacaca,Potosi,2008,5053.26777103882,83991.7842160851,,89045.0519871239,5.67495628142205,94.325043718578
Sacaca,Potosi,2009,5168.77856992798,83876.2734171955,,89045.0519871235,5.80467803048216,94.1953219695178
Sacaca,Potosi,2010,5254.62248234256,83790.4295047809,,89045.0519871235,5.90108306422508,94.0989169357749
Sacaca,Potosi,2011,5700.45791602178,83344.5940711017,,89045.0519871235,6.40176830583029,93.5982316941697
Sacaca,Potosi,2012,6068.96358876955,82976.0883983537,,89045.0519871233,6.81561013591994,93.1843898640801
Sacaca,Potosi,2013,5697.66457218021,83347.3874149431,,89045.0519871233,6.39863130520059,93.6013686947994
Sacaca,Potosi,2014,5562.89937255862,83482.1526145646,,89045.0519871232,6.24728634372977,93.7527136562702
Sacaca,Potosi,2015,5957.8146707947,83087.2373163283,,89045.051987123,6.69078689701509,93.3092131029849
Sacaca,Potosi,2016,6552.84669943852,82492.2052876848,,89045.0519871233,7.35902394709828,92.6409760529017
Sacaca,Potosi,2017,6738.53403906253,82306.5179480604,,89045.0519871229,7.5675558480633,92.4324441519367
